DATE	TIME	OPEN	HIGH	LOW	CLOSE	TICKVOL	SPREAD
2023.03.31	21:00:00	1.08523	1.0861399999999999	1.0851	1.08546	1955	1.8828071379547093
2023.03.31	22:00:00	1.08546	1.08558	1.08424	1.08448	3427	1.8911134453781315
2023.03.31	23:00:00	1.08449	1.08452	1.08362	1.08424	653	1.9449754901961074
2023.04.03	00:00:00	1.084	1.08428	1.08393	1.084	105	3.664705882352799
2023.04.03	01:00:00	1.084	1.08408	1.08046	1.0818699999999999	2323	2.362337125129221
2023.04.03	02:00:00	1.0818699999999999	1.08223	1.08004	1.08016	3461	1.9387285745280807
2023.04.03	03:00:00	1.08017	1.08139	1.0798	1.0813	4980	1.9023663183773645
2023.04.03	04:00:00	1.0813	1.08162	1.0802100000000001	1.08068	4067	1.8941154700221985
2023.04.03	05:00:00	1.08067	1.08072	1.07905	1.07931	3328	1.8931961655365448
2023.04.03	06:00:00	1.07934	1.0796999999999999	1.07875	1.07893	2898	1.9025873566284068
2023.04.03	07:00:00	1.07892	1.0795	1.0789	1.07923	1972	1.8913043478260707
2023.04.03	08:00:00	1.07924	1.07948	1.07884	1.07945	2897	1.9002355404344207
2023.04.03	09:00:00	1.07944	1.08154	1.07905	1.08141	5692	1.9071696094167527
2023.04.03	10:00:00	1.0814	1.08411	1.08118	1.08383	6552	1.8981716548270187
2023.04.03	11:00:00	1.08384	1.08489	1.08292	1.08419	3969	1.8844586948321311
2023.04.03	12:00:00	1.08418	1.08536	1.08418	1.085	4124	1.8924514200298843
2023.04.03	13:00:00	1.08499	1.08715	1.08489	1.08696	4799	1.8945348286210404
2023.04.03	14:00:00	1.08695	1.0877	1.08601	1.08759	5135	1.8885064093331039
2023.04.03	15:00:00	1.08758	1.08758	1.08609	1.08643	4922	1.8992163491087612
2023.04.03	16:00:00	1.08646	1.08962	1.08637	1.08843	5878	1.888874905612917
2023.04.03	17:00:00	1.08858	1.09159	1.08834	1.08862	11461	1.8973769168684222
2023.04.03	18:00:00	1.08862	1.0893	1.08776	1.08895	5196	1.8929059233448895
2023.04.03	19:00:00	1.08894	1.0893	1.08832	1.08879	2910	1.8936128236744025
2023.04.03	20:00:00	1.08878	1.0888	1.08793	1.08861	2671	1.9002689618073834
2023.04.03	21:00:00	1.08862	1.09	1.08852	1.08959	2731	1.8817809341709775
2023.04.03	22:00:00	1.08959	1.09066	1.0894	1.09059	1981	1.8881499823133772
2023.04.03	23:00:00	1.09058	1.09074	1.09015	1.09025	586	1.8703494926718607
2023.04.04	00:00:00	1.09021	1.09036	1.08995	1.09004	133	4.848019801980289
2023.04.04	01:00:00	1.09004	1.09051	1.09002	1.0903100000000001	424	2.2869803063457312
2023.04.04	02:00:00	1.0903100000000001	1.09087	1.0903100000000001	1.0906	915	1.9104041916168932
2023.04.04	03:00:00	1.09061	1.0909	1.08982	1.09003	3179	1.8940537084398374
2023.04.04	04:00:00	1.09004	1.09009	1.08894	1.08924	2763	1.9035060582624015
2023.04.04	05:00:00	1.08924	1.08949	1.08876	1.08902	2688	1.9033443891652702
2023.04.04	06:00:00	1.08902	1.08918	1.0888	1.0888	1315	1.8952892985152265
2023.04.04	07:00:00	1.0888	1.0898	1.08872	1.08936	2729	1.897074904319338
2023.04.04	08:00:00	1.08937	1.08949	1.08822	1.08849	1906	1.899511645379351
2023.04.04	09:00:00	1.08849	1.0907499999999999	1.08847	1.09064	4238	1.8947653114639238
